DateID,ProductID,Date,zip,SentimentScore
10,211,"Tuesday, October 1, 2013",68001,78
10,211,"Tuesday, October 1, 2013",66002,10
10,211,"Tuesday, October 1, 2013",2801,86
10,211,"Tuesday, October 1, 2013",66002,23
10,211,"Tuesday, October 1, 2013",40003,46
10,211,"Tuesday, October 1, 2013",59,69
10,211,"Tuesday, October 1, 2013",40003,23
10,211,"Tuesday, October 1, 2013",56,18
10,211,"Tuesday, October 1, 2013",56,43
10,211,"Tuesday, October 1, 2013",57001,75
10,211,"Tuesday, October 1, 2013",46001,44
10,211,"Tuesday, October 1, 2013",20001,24
10,211,"Tuesday, October 1, 2013",42223,60
10,211,"Tuesday, October 1, 2013",39813,40
10,211,"Tuesday, October 1, 2013",1,32
10,211,"Tuesday, October 1, 2013",5101,73
10,211,"Tuesday, October 1, 2013",50001,31
10,211,"Tuesday, October 1, 2013",58001,86
10,211,"Tuesday, October 1, 2013",6001,28
10,211,"Tuesday, October 1, 2013",24701,72
10,211,"Tuesday, October 1, 2013",71,81
10,211,"Tuesday, October 1, 2013",29001,62
10,211,"Tuesday, October 1, 2013",42223,86
10,211,"Tuesday, October 1, 2013",20041,62
10,211,"Tuesday, October 1, 2013",19701,49
10,211,"Tuesday, October 1, 2013",48001,79
10,211,"Tuesday, October 1, 2013",71601,22
10,211,"Tuesday, October 1, 2013",56,38
10,211,"Tuesday, October 1, 2013",42223,68
10,211,"Tuesday, October 1, 2013",2801,83
10,211,"Tuesday, October 1, 2013",19701,26
10,211,"Tuesday, October 1, 2013",27,44
10,211,"Tuesday, October 1, 2013",2801,82
10,211,"Tuesday, October 1, 2013",158,19
10,211,"Tuesday, October 1, 2013",43001,71
10,211,"Tuesday, October 1, 2013",41,33
10,211,"Tuesday, October 1, 2013",158,33
10,211,"Tuesday, October 1, 2013",3033,76
10,211,"Tuesday, October 1, 2013",59,65
10,211,"Tuesday, October 1, 2013",41,34
10,211,"Tuesday, October 1, 2013",188,88
10,211,"Tuesday, October 1, 2013",56,49
10,211,"Tuesday, October 1, 2013",48001,69
10,211,"Tuesday, October 1, 2013",46001,49
10,211,"Tuesday, October 1, 2013",20001,31
10,211,"Tuesday, October 1, 2013",7001,74
10,211,"Tuesday, October 1, 2013",14,40
10,211,"Tuesday, October 1, 2013",82001,69
10,211,"Tuesday, October 1, 2013",42223,77
10,211,"Tuesday, October 1, 2013",501,84
10,211,"Tuesday, October 1, 2013",43001,90
10,211,"Tuesday, October 1, 2013",20001,28
10,211,"Tuesday, October 1, 2013",53001,86
10,211,"Tuesday, October 1, 2013",68,84
10,211,"Tuesday, October 1, 2013",501,66
10,211,"Tuesday, October 1, 2013",41,43
10,211,"Tuesday, October 1, 2013",48001,90
10,211,"Tuesday, October 1, 2013",64,87
10,211,"Tuesday, October 1, 2013",2801,75
10,211,"Tuesday, October 1, 2013",41,31
10,211,"Tuesday, October 1, 2013",68,77
10,211,"Tuesday, October 1, 2013",63,72
10,211,"Tuesday, October 1, 2013",6001,38
10,211,"Tuesday, October 1, 2013",57001,60
10,211,"Tuesday, October 1, 2013",24701,61
10,211,"Tuesday, October 1, 2013",158,15
10,211,"Tuesday, October 1, 2013",68001,88
10,211,"Tuesday, October 1, 2013",7001,81
10,211,"Tuesday, October 1, 2013",29001,79
10,211,"Tuesday, October 1, 2013",68001,89
10,211,"Tuesday, October 1, 2013",116,27
10,211,"Tuesday, October 1, 2013",19701,44
10,211,"Tuesday, October 1, 2013",59,83
10,211,"Tuesday, October 1, 2013",63005,75
10,211,"Tuesday, October 1, 2013",59,76
10,211,"Tuesday, October 1, 2013",56,47
10,211,"Tuesday, October 1, 2013",62356,18
10,211,"Tuesday, October 1, 2013",12,18
10,211,"Tuesday, October 1, 2013",2801,82
10,211,"Tuesday, October 1, 2013",63,84
10,211,"Tuesday, October 1, 2013",57001,80
10,211,"Tuesday, October 1, 2013",56,20
10,211,"Tuesday, October 1, 2013",41,24
10,211,"Tuesday, October 1, 2013",188,60
10,211,"Tuesday, October 1, 2013",158,11
10,211,"Tuesday, October 1, 2013",14,34
10,211,"Tuesday, October 1, 2013",20041,68
10,211,"Tuesday, October 1, 2013",19701,19
10,211,"Tuesday, October 1, 2013",29001,66
10,211,"Tuesday, October 1, 2013",7001,75
10,211,"Tuesday, October 1, 2013",42223,64
10,211,"Tuesday, October 1, 2013",20041,90
10,211,"Tuesday, October 1, 2013",59,80
10,211,"Tuesday, October 1, 2013",68001,79
10,211,"Tuesday, October 1, 2013",35004,49
10,211,"Tuesday, October 1, 2013",2801,68
10,211,"Tuesday, October 1, 2013",15937,80
10,211,"Tuesday, October 1, 2013",29001,67
10,211,"Tuesday, October 1, 2013",41,28
10,211,"Tuesday, October 1, 2013",50001,21
10,211,"Tuesday, October 1, 2013",27,23
10,211,"Tuesday, October 1, 2013",88901,61
9,211,"Sunday, September 1, 2013",46001,31
9,211,"Sunday, September 1, 2013",42223,67
9,211,"Sunday, September 1, 2013",72,60
9,211,"Sunday, September 1, 2013",64,61
9,211,"Sunday, September 1, 2013",1,25
9,211,"Sunday, September 1, 2013",84,67
9,211,"Sunday, September 1, 2013",188,62
9,211,"Sunday, September 1, 2013",7001,66
9,211,"Sunday, September 1, 2013",3033,79
9,211,"Sunday, September 1, 2013",84,73
9,211,"Sunday, September 1, 2013",62356,22
9,211,"Sunday, September 1, 2013",57001,85
9,211,"Sunday, September 1, 2013",27,23
9,211,"Sunday, September 1, 2013",1,23
9,211,"Sunday, September 1, 2013",20058,71
9,211,"Sunday, September 1, 2013",71601,41
9,211,"Sunday, September 1, 2013",38848,83
9,211,"Sunday, September 1, 2013",188,61
9,211,"Sunday, September 1, 2013",58001,66
9,211,"Sunday, September 1, 2013",88901,70
9,211,"Sunday, September 1, 2013",68001,64
9,211,"Sunday, September 1, 2013",46001,17
9,211,"Sunday, September 1, 2013",116,20
9,211,"Sunday, September 1, 2013",84,70
9,211,"Sunday, September 1, 2013",24701,80
9,211,"Sunday, September 1, 2013",6001,25
9,211,"Sunday, September 1, 2013",7001,79
9,211,"Sunday, September 1, 2013",12,11
9,211,"Sunday, September 1, 2013",2801,65
9,211,"Sunday, September 1, 2013",63,77
9,211,"Sunday, September 1, 2013",56,15
9,211,"Sunday, September 1, 2013",19701,25
9,211,"Sunday, September 1, 2013",116,19
9,211,"Sunday, September 1, 2013",5101,63
9,211,"Sunday, September 1, 2013",71,66
9,211,"Sunday, September 1, 2013",59,72
9,211,"Sunday, September 1, 2013",158,32
9,211,"Sunday, September 1, 2013",71601,46
9,211,"Sunday, September 1, 2013",63,73
9,211,"Sunday, September 1, 2013",6001,44
9,211,"Sunday, September 1, 2013",50001,41
9,211,"Sunday, September 1, 2013",42223,71
9,211,"Sunday, September 1, 2013",88901,81
9,211,"Sunday, September 1, 2013",53001,83
9,211,"Sunday, September 1, 2013",12,30
9,211,"Sunday, September 1, 2013",27,19
9,211,"Sunday, September 1, 2013",3033,64
9,211,"Sunday, September 1, 2013",12,41
9,211,"Sunday, September 1, 2013",501,80
9,211,"Sunday, September 1, 2013",53001,87
9,211,"Sunday, September 1, 2013",57001,90
9,211,"Sunday, September 1, 2013",68001,84
9,211,"Sunday, September 1, 2013",29001,70
9,211,"Sunday, September 1, 2013",42223,75
9,211,"Sunday, September 1, 2013",501,81
9,211,"Sunday, September 1, 2013",20041,77
9,211,"Sunday, September 1, 2013",40003,42
9,211,"Sunday, September 1, 2013",82001,73
9,211,"Sunday, September 1, 2013",1,20
9,211,"Sunday, September 1, 2013",2801,84
9,211,"Sunday, September 1, 2013",58001,64
9,211,"Sunday, September 1, 2013",68,80
9,211,"Sunday, September 1, 2013",58001,76
9,211,"Sunday, September 1, 2013",188,84
9,211,"Sunday, September 1, 2013",53001,81
9,211,"Sunday, September 1, 2013",63,61
9,211,"Sunday, September 1, 2013",72,60
9,211,"Sunday, September 1, 2013",20041,70
9,211,"Sunday, September 1, 2013",42223,70
9,211,"Sunday, September 1, 2013",5101,65
9,211,"Sunday, September 1, 2013",20001,35
9,211,"Sunday, September 1, 2013",68001,82
9,211,"Sunday, September 1, 2013",88901,89
9,211,"Sunday, September 1, 2013",57001,65
9,211,"Sunday, September 1, 2013",41,23
9,211,"Sunday, September 1, 2013",68,63
9,211,"Sunday, September 1, 2013",56,38
9,211,"Sunday, September 1, 2013",6001,37
9,211,"Sunday, September 1, 2013",67,77
9,211,"Sunday, September 1, 2013",48001,81
9,211,"Sunday, September 1, 2013",42223,82
9,211,"Sunday, September 1, 2013",67,75
9,211,"Sunday, September 1, 2013",5101,72
9,211,"Sunday, September 1, 2013",20058,68
9,211,"Sunday, September 1, 2013",27,50
9,211,"Sunday, September 1, 2013",501,73
9,211,"Sunday, September 1, 2013",29001,73
9,211,"Sunday, September 1, 2013",7001,87
9,211,"Sunday, September 1, 2013",48001,72
9,211,"Sunday, September 1, 2013",82001,80
9,211,"Sunday, September 1, 2013",72,88
9,211,"Sunday, September 1, 2013",46001,26
9,211,"Sunday, September 1, 2013",20001,17
9,211,"Sunday, September 1, 2013",35004,14
9,211,"Sunday, September 1, 2013",39813,18
9,211,"Sunday, September 1, 2013",19701,11
9,211,"Sunday, September 1, 2013",188,75
9,211,"Sunday, September 1, 2013",71601,42
9,211,"Sunday, September 1, 2013",501,79
9,211,"Sunday, September 1, 2013",20041,88
9,211,"Sunday, September 1, 2013",46001,10
9,211,"Sunday, September 1, 2013",42223,66
9,211,"Sunday, September 1, 2013",5101,60
18,211,"Sunday, June 1, 2014",1,43
18,211,"Sunday, June 1, 2014",20041,64
