Date,MonthID
"Friday, January 1, 1999",199901
"Saturday, January 2, 1999",199901
"Sunday, January 3, 1999",199901
"Monday, January 4, 1999",199901
"Tuesday, January 5, 1999",199901
"Wednesday, January 6, 1999",199901
"Thursday, January 7, 1999",199901
"Friday, January 8, 1999",199901
"Saturday, January 9, 1999",199901
"Sunday, January 10, 1999",199901
"Monday, January 11, 1999",199901
"Tuesday, January 12, 1999",199901
"Wednesday, January 13, 1999",199901
"Thursday, January 14, 1999",199901
"Friday, January 15, 1999",199901
"Saturday, January 16, 1999",199901
"Sunday, January 17, 1999",199901
"Monday, January 18, 1999",199901
"Tuesday, January 19, 1999",199901
"Wednesday, January 20, 1999",199901
"Thursday, January 21, 1999",199901
"Friday, January 22, 1999",199901
"Saturday, January 23, 1999",199901
"Sunday, January 24, 1999",199901
"Monday, January 25, 1999",199901
"Tuesday, January 26, 1999",199901
"Wednesday, January 27, 1999",199901
"Thursday, January 28, 1999",199901
"Friday, January 29, 1999",199901
"Saturday, January 30, 1999",199901
"Sunday, January 31, 1999",199901
"Monday, February 1, 1999",199902
"Tuesday, February 2, 1999",199902
"Wednesday, February 3, 1999",199902
"Thursday, February 4, 1999",199902
"Friday, February 5, 1999",199902
"Saturday, February 6, 1999",199902
"Sunday, February 7, 1999",199902
"Monday, February 8, 1999",199902
"Tuesday, February 9, 1999",199902
"Wednesday, February 10, 1999",199902
"Thursday, February 11, 1999",199902
"Friday, February 12, 1999",199902
"Saturday, February 13, 1999",199902
"Sunday, February 14, 1999",199902
"Monday, February 15, 1999",199902
"Tuesday, February 16, 1999",199902
"Wednesday, February 17, 1999",199902
"Thursday, February 18, 1999",199902
"Friday, February 19, 1999",199902
"Saturday, February 20, 1999",199902
"Sunday, February 21, 1999",199902
"Monday, February 22, 1999",199902
"Tuesday, February 23, 1999",199902
"Wednesday, February 24, 1999",199902
"Thursday, February 25, 1999",199902
"Friday, February 26, 1999",199902
"Saturday, February 27, 1999",199902
"Sunday, February 28, 1999",199902
"Monday, March 1, 1999",199903
"Tuesday, March 2, 1999",199903
"Wednesday, March 3, 1999",199903
"Thursday, March 4, 1999",199903
"Friday, March 5, 1999",199903
"Saturday, March 6, 1999",199903
"Sunday, March 7, 1999",199903
"Monday, March 8, 1999",199903
"Tuesday, March 9, 1999",199903
"Wednesday, March 10, 1999",199903
"Thursday, March 11, 1999",199903
"Friday, March 12, 1999",199903
"Saturday, March 13, 1999",199903
"Sunday, March 14, 1999",199903
"Monday, March 15, 1999",199903
"Tuesday, March 16, 1999",199903
"Wednesday, March 17, 1999",199903
"Thursday, March 18, 1999",199903
"Friday, March 19, 1999",199903
"Saturday, March 20, 1999",199903
"Sunday, March 21, 1999",199903
"Monday, March 22, 1999",199903
"Tuesday, March 23, 1999",199903
"Wednesday, March 24, 1999",199903
"Thursday, March 25, 1999",199903
"Friday, March 26, 1999",199903
"Saturday, March 27, 1999",199903
"Sunday, March 28, 1999",199903
"Monday, March 29, 1999",199903
"Tuesday, March 30, 1999",199903
"Wednesday, March 31, 1999",199903
"Thursday, April 1, 1999",199904
"Friday, April 2, 1999",199904
"Saturday, April 3, 1999",199904
"Sunday, April 4, 1999",199904
"Monday, April 5, 1999",199904
"Tuesday, April 6, 1999",199904
"Wednesday, April 7, 1999",199904
"Thursday, April 8, 1999",199904
"Friday, April 9, 1999",199904
"Saturday, April 10, 1999",199904
"Sunday, April 11, 1999",199904
"Monday, April 12, 1999",199904
"Tuesday, April 13, 1999",199904
"Wednesday, April 14, 1999",199904
"Thursday, April 15, 1999",199904
"Friday, April 16, 1999",199904
"Saturday, April 17, 1999",199904
"Sunday, April 18, 1999",199904
"Monday, April 19, 1999",199904
"Tuesday, April 20, 1999",199904
"Wednesday, April 21, 1999",199904
"Thursday, April 22, 1999",199904
"Friday, April 23, 1999",199904
"Saturday, April 24, 1999",199904
"Sunday, April 25, 1999",199904
"Monday, April 26, 1999",199904
"Tuesday, April 27, 1999",199904
"Wednesday, April 28, 1999",199904
"Thursday, April 29, 1999",199904
"Friday, April 30, 1999",199904
"Saturday, May 1, 1999",199905
"Sunday, May 2, 1999",199905
"Monday, May 3, 1999",199905
"Tuesday, May 4, 1999",199905
"Wednesday, May 5, 1999",199905
"Thursday, May 6, 1999",199905
"Friday, May 7, 1999",199905
"Saturday, May 8, 1999",199905
"Sunday, May 9, 1999",199905
"Monday, May 10, 1999",199905
"Tuesday, May 11, 1999",199905
"Wednesday, May 12, 1999",199905
"Thursday, May 13, 1999",199905
"Friday, May 14, 1999",199905
"Saturday, May 15, 1999",199905
"Sunday, May 16, 1999",199905
"Monday, May 17, 1999",199905
"Tuesday, May 18, 1999",199905
"Wednesday, May 19, 1999",199905
"Thursday, May 20, 1999",199905
"Friday, May 21, 1999",199905
"Saturday, May 22, 1999",199905
"Sunday, May 23, 1999",199905
"Monday, May 24, 1999",199905
"Tuesday, May 25, 1999",199905
"Wednesday, May 26, 1999",199905
"Thursday, May 27, 1999",199905
"Friday, May 28, 1999",199905
"Saturday, May 29, 1999",199905
"Sunday, May 30, 1999",199905
"Monday, May 31, 1999",199905
"Tuesday, June 1, 1999",199906
"Wednesday, June 2, 1999",199906
"Thursday, June 3, 1999",199906
"Friday, June 4, 1999",199906
"Saturday, June 5, 1999",199906
"Sunday, June 6, 1999",199906
"Monday, June 7, 1999",199906
"Tuesday, June 8, 1999",199906
"Wednesday, June 9, 1999",199906
"Thursday, June 10, 1999",199906
"Friday, June 11, 1999",199906
"Saturday, June 12, 1999",199906
"Sunday, June 13, 1999",199906
"Monday, June 14, 1999",199906
"Tuesday, June 15, 1999",199906
"Wednesday, June 16, 1999",199906
"Thursday, June 17, 1999",199906
"Friday, June 18, 1999",199906
"Saturday, June 19, 1999",199906
"Sunday, June 20, 1999",199906
"Monday, June 21, 1999",199906
"Tuesday, June 22, 1999",199906
"Wednesday, June 23, 1999",199906
"Thursday, June 24, 1999",199906
"Friday, June 25, 1999",199906
"Saturday, June 26, 1999",199906
"Sunday, June 27, 1999",199906
"Monday, June 28, 1999",199906
"Tuesday, June 29, 1999",199906
"Wednesday, June 30, 1999",199906
"Thursday, July 1, 1999",199907
"Friday, July 2, 1999",199907
"Saturday, July 3, 1999",199907
"Sunday, July 4, 1999",199907
"Monday, July 5, 1999",199907
"Tuesday, July 6, 1999",199907
"Wednesday, July 7, 1999",199907
"Thursday, July 8, 1999",199907
"Friday, July 9, 1999",199907
"Saturday, July 10, 1999",199907
"Sunday, July 11, 1999",199907
"Monday, July 12, 1999",199907
"Tuesday, July 13, 1999",199907
"Wednesday, July 14, 1999",199907
