,ProductID,Date,Zip,Units,Revenue
0,2213,"Wednesday, June 22, 2005",25526,1,1070.37
1,2213,"Saturday, September 30, 2006",65279,1,1070.37
2,2213,"Thursday, November 27, 2003",30028,1,1070.37
3,2213,"Thursday, June 3, 2004",80120,1,1070.37
4,2213,"Friday, February 10, 2006",15135,1,1070.37
5,2213,"Tuesday, July 11, 2006",37179,1,1070.37
6,2213,"Tuesday, June 27, 2006",92103,1,1070.37
7,2213,"Tuesday, September 13, 2005",30733,1,1070.37
8,2213,"Monday, June 30, 2003",89801,1,1070.37
9,2213,"Saturday, January 29, 2005",36545,1,1070.37
10,2213,"Thursday, December 30, 2010",14067,1,1070.37
11,2213,"Tuesday, October 3, 2006",50213,1,1070.37
12,2213,"Saturday, September 20, 2003",92627,1,1070.37
13,2213,"Sunday, August 24, 2003",28340,1,1070.37
14,2213,"Wednesday, June 30, 2004",39666,1,1070.37
15,2213,"Monday, August 27, 2007",99156,1,1070.37
16,2213,"Tuesday, July 8, 2003",90604,1,1070.37
17,2213,"Tuesday, September 30, 2003",60477,1,1070.37
18,2213,"Thursday, February 22, 2007",49730,1,1070.37
19,2213,"Thursday, March 29, 2007",55345,1,1070.37
20,2213,"Thursday, January 8, 2004",48742,1,1070.37
21,2213,"Thursday, May 17, 2007",96145,1,1070.37
22,2213,"Monday, August 25, 2003",84741,1,1070.37
23,2213,"Saturday, January 27, 2007",65262,1,1070.37
24,2213,"Monday, August 15, 2005",38018,1,1070.37
25,2213,"Wednesday, June 9, 2004",42431,1,1070.37
26,2213,"Thursday, September 7, 2006",81505,1,1070.37
27,2213,"Wednesday, November 12, 2003",56373,1,1070.37
28,2213,"Thursday, February 26, 2004",59414,1,1070.37
29,2213,"Tuesday, December 5, 2006",77568,1,1070.37
30,2213,"Sunday, July 30, 2006",41232,1,1070.37
31,2213,"Thursday, September 23, 2004",55372,1,1070.37
32,2213,"Sunday, August 24, 2003",6320,1,1070.37
33,2213,"Thursday, June 22, 2006",36830,1,1070.37
34,2213,"Sunday, June 10, 2007",99301,1,1070.37
35,2213,"Sunday, October 30, 2005",87718,1,1070.37
36,2213,"Wednesday, January 14, 2004",62274,1,1070.37
37,2213,"Sunday, January 29, 2006",84037,1,1070.37
38,2213,"Tuesday, August 8, 2006",86401,1,1070.37
39,2213,"Thursday, September 30, 2004",30120,1,1070.37
40,2213,"Saturday, April 17, 2004",49286,1,1070.37
41,2213,"Thursday, April 28, 2005",22655,1,1070.37
42,2213,"Friday, November 26, 2004",48461,1,1070.37
43,2213,"Thursday, July 5, 2007",94561,1,1070.37
44,2213,"Saturday, June 19, 2004",52761,1,1070.37
45,2213,"Wednesday, June 30, 2004",10509,1,1070.37
46,2213,"Thursday, December 25, 2003",48041,1,1070.37
47,2213,"Friday, January 30, 2004",32561,1,1070.37
48,2213,"Saturday, November 5, 2005",36830,1,1070.37
49,2213,"Wednesday, July 21, 2004",91702,1,1070.37
50,2213,"Saturday, December 20, 2003",17038,1,1070.37
51,2213,"Monday, March 8, 2004",92585,1,1070.37
52,2213,"Thursday, March 4, 2004",17222,1,1070.37
53,2213,"Thursday, November 9, 2006",28304,1,1070.37
54,2213,"Monday, June 4, 2007",92646,1,1070.37
55,2213,"Tuesday, June 29, 2004",32344,1,1070.37
56,2213,"Thursday, December 16, 2004",54005,1,1070.37
57,2213,"Wednesday, January 11, 2006",40162,1,1070.37
58,2213,"Friday, January 6, 2006",87113,1,1070.37
59,2213,"Wednesday, June 30, 2004",12827,1,1070.37
60,2213,"Thursday, October 30, 2003",48809,1,1070.37
61,2213,"Sunday, August 24, 2003",72019,1,1070.37
62,2213,"Tuesday, May 29, 2007",7090,1,1070.37
63,2213,"Sunday, June 29, 2003",38773,1,1070.37
64,2213,"Thursday, July 26, 2007",47980,1,1070.37
65,2213,"Thursday, November 25, 2004",30188,1,1070.37
66,2213,"Saturday, September 30, 2006",52501,1,1070.37
67,2213,"Thursday, June 22, 2006",30117,1,1070.37
68,2213,"Sunday, September 30, 2007",28164,1,1070.37
69,2213,"Thursday, December 18, 2003",47012,1,1070.37
70,2213,"Thursday, September 7, 2006",56401,1,1070.37
71,2213,"Tuesday, May 11, 2004",40701,1,1070.37
72,2213,"Tuesday, April 10, 2007",26624,1,1070.37
73,2213,"Sunday, January 29, 2006",48371,1,1070.37
74,2213,"Wednesday, November 24, 2004",17821,1,1070.37
75,2213,"Tuesday, April 27, 2004",54303,1,1070.37
76,2213,"Thursday, December 1, 2005",77037,1,1070.37
77,2213,"Saturday, December 18, 2004",41826,1,1070.37
78,2213,"Friday, September 10, 2004",55127,1,1070.37
79,2213,"Sunday, August 20, 2006",33414,1,1070.37
80,2213,"Friday, November 25, 2005",62549,1,1070.37
81,2213,"Wednesday, October 27, 2004",94517,1,1070.37
82,2213,"Thursday, August 21, 2003",39654,1,1070.37
83,2213,"Wednesday, December 29, 2004",40014,1,1070.37
84,2213,"Friday, June 1, 2007",91324,1,1070.37
85,2213,"Thursday, June 29, 2006",43056,1,1070.37
86,2213,"Wednesday, November 2, 2005",66407,1,1070.37
87,2213,"Thursday, September 29, 2005",61843,1,1070.37
88,2213,"Wednesday, June 16, 2004",94561,1,1070.37
89,2213,"Wednesday, November 30, 2005",35640,1,1070.37
90,2213,"Tuesday, June 28, 2005",93446,1,1070.37
91,2213,"Sunday, September 10, 2006",22443,1,1070.37
92,2213,"Wednesday, June 30, 2004",28306,1,1070.37
93,2213,"Monday, August 28, 2006",55712,1,1070.37
94,2213,"Wednesday, September 1, 2004",75033,1,1070.37
95,2213,"Thursday, February 19, 2004",92065,1,1070.37
96,2213,"Monday, January 31, 2005",68791,1,1070.37
97,2213,"Monday, July 17, 2006",28120,1,1070.37
98,2213,"Monday, July 25, 2005",46052,1,1070.37
99,2213,"Friday, October 29, 2004",48167,1,1070.37
100,2213,"Wednesday, June 21, 2006",29920,1,1070.37
101,2213,"Tuesday, July 11, 2006",30710,1,1070.37
102,2213,"Saturday, November 22, 2003",30474,1,1070.37
103,2213,"Friday, September 26, 2003",93274,1,1070.37
104,2213,"Saturday, October 13, 2007",83501,1,1070.37
105,2213,"Tuesday, March 21, 2006",32425,1,1070.37
106,2213,"Thursday, November 30, 2006",60051,1,1070.37
107,2213,"Friday, April 2, 2004",46060,1,1070.37
108,2213,"Thursday, September 30, 2004",30143,1,1070.37
109,2213,"Tuesday, June 17, 2003",37013,1,1070.37
110,2213,"Saturday, September 30, 2006",53578,1,1070.37
111,2213,"Friday, March 19, 2004",70363,1,1070.37
112,2213,"Sunday, October 30, 2005",52101,1,1070.37
113,2213,"Sunday, April 30, 2006",48827,1,1070.37
114,2213,"Tuesday, May 30, 2006",37073,1,1070.37
115,2213,"Friday, April 20, 2007",47403,1,1070.37
116,2213,"Tuesday, June 29, 2004",30224,1,1070.37
117,2213,"Saturday, December 10, 2005",59714,1,1070.37
118,2213,"Saturday, April 30, 2005",98685,1,1070.37
119,2213,"Friday, October 20, 2006",92307,1,1070.37
120,2213,"Saturday, December 13, 2003",82001,1,1070.37
121,2213,"Thursday, June 3, 2004",90603,1,1070.37
122,2213,"Saturday, December 27, 2003",98354,1,1070.37
123,2213,"Thursday, November 4, 2004",64836,1,1070.37
124,2213,"Saturday, September 15, 2007",80016,1,1070.37
125,2213,"Thursday, August 7, 2003",95382,1,1070.37
126,2213,"Tuesday, October 12, 2004",20854,1,1070.37
127,2213,"Tuesday, April 4, 2006",94510,1,1070.37
128,2213,"Wednesday, October 29, 2003",90731,1,1070.37
129,2213,"Sunday, July 10, 2005",95746,1,1070.37
130,2213,"Saturday, February 18, 2006",92821,1,1070.37
131,2213,"Monday, June 19, 2006",28677,1,1070.37
132,2213,"Saturday, May 20, 2006",40505,1,1070.37
133,2213,"Wednesday, November 24, 2004",49460,1,1070.37
134,2213,"Sunday, January 16, 2005",42220,1,1070.37
135,2213,"Sunday, January 25, 2004",77346,1,1070.37
136,2213,"Wednesday, July 28, 2004",28307,1,1070.37
137,2213,"Tuesday, December 21, 2004",80130,1,1070.37
138,2213,"Friday, September 26, 2003",33623,1,1070.37
139,2213,"Tuesday, June 27, 2006",31324,1,1070.37
140,2213,"Thursday, November 18, 2004",91768,1,1070.37
141,2213,"Monday, July 17, 2006",77546,1,1070.37
142,2213,"Tuesday, April 20, 2004",65321,1,1070.37
143,2213,"Tuesday, October 4, 2005",54311,1,1070.37
144,2213,"Monday, June 16, 2003",92276,1,1070.37
145,2213,"Tuesday, June 27, 2006",27330,1,1070.37
146,2213,"Thursday, January 19, 2006",83642,1,1070.37
147,2213,"Saturday, October 30, 2004",48843,1,1070.37
148,2213,"Tuesday, January 24, 2006",45840,1,1070.37
149,2213,"Monday, March 20, 2006",60010,1,1070.37
150,2213,"Wednesday, September 20, 2006",16346,1,1070.37
151,2213,"Sunday, November 20, 2005",98648,1,1070.37
152,2213,"Friday, January 19, 2007",97701,1,1070.37
153,2213,"Monday, August 16, 2004",38468,1,1070.37
154,2213,"Tuesday, June 6, 2006",21794,1,1070.37
155,2213,"Tuesday, June 14, 2005",95536,1,1070.37
156,2213,"Wednesday, September 5, 2007",95437,1,1070.37
157,2213,"Thursday, December 23, 2004",2362,1,1070.37
158,2213,"Wednesday, May 5, 2004",6110,1,1070.37
159,2213,"Wednesday, January 25, 2006",90638,1,1070.37
160,2213,"Sunday, November 21, 2004",52533,1,1070.37
161,2213,"Sunday, January 28, 2007",28103,1,1070.37
162,2213,"Thursday, September 18, 2003",39652,1,1070.37
163,2213,"Saturday, January 27, 2007",56097,1,1070.37
164,2213,"Wednesday, June 28, 2006",78626,1,1070.37
165,2213,"Wednesday, November 30, 2005",63935,1,1070.37
166,2213,"Monday, May 30, 2005",77580,1,1070.37
167,2213,"Tuesday, December 14, 2004",2718,1,1070.37
168,2213,"Thursday, May 18, 2006",46574,1,1070.37
169,2213,"Tuesday, March 2, 2004",28792,1,1070.37
170,2213,"Friday, February 16, 2007",13697,1,1070.37
171,2213,"Monday, June 27, 2005",25535,1,1070.37
172,2213,"Saturday, December 10, 2005",78577,1,1070.37
173,2213,"Wednesday, June 16, 2004",21205,1,1070.37
174,2213,"Friday, October 20, 2006",99737,1,1070.37
175,2213,"Tuesday, July 22, 2003",19702,1,1070.37
176,2213,"Thursday, December 23, 2004",74019,1,1070.37
177,2213,"Friday, January 27, 2006",75002,1,1070.37
178,2213,"Friday, June 23, 2006",90650,1,1070.37
179,2213,"Tuesday, June 8, 2004",28052,1,1070.37
180,2213,"Tuesday, August 24, 2004",26287,1,1070.37
181,2213,"Thursday, September 15, 2005",90502,1,1070.37
