ProductID,Product,Category,Segment,ManufacturerID,IsCompete
536,Maximus UC-01,Urban,Convenience,7,No
537,Maximus UC-02,Urban,Convenience,7,No
538,Maximus UC-03,Urban,Convenience,7,No
539,Maximus UC-04,Urban,Convenience,7,No
540,Maximus UC-05,Urban,Convenience,7,No
541,Maximus UC-06,Urban,Convenience,7,No
542,Maximus UC-07,Urban,Convenience,7,No
543,Maximus UC-08,Urban,Convenience,7,No
544,Maximus UC-09,Urban,Convenience,7,No
545,Maximus UC-10,Urban,Convenience,7,No
546,Maximus UC-11,Urban,Convenience,7,No
547,Maximus UC-12,Urban,Convenience,7,No
548,Maximus UC-13,Urban,Convenience,7,No
549,Maximus UC-14,Urban,Convenience,7,No
550,Maximus UC-15,Urban,Convenience,7,No
551,Maximus UC-16,Urban,Convenience,7,No
552,Maximus UC-17,Urban,Convenience,7,No
553,Maximus UC-18,Urban,Convenience,7,No
554,Maximus UC-19,Urban,Convenience,7,No
555,Maximus UC-20,Urban,Convenience,7,No
556,Maximus UC-21,Urban,Convenience,7,No
557,Maximus UC-22,Urban,Convenience,7,No
558,Maximus UC-23,Urban,Convenience,7,No
559,Maximus UC-24,Urban,Convenience,7,No
560,Maximus UC-25,Urban,Convenience,7,No
561,Maximus UC-26,Urban,Convenience,7,No
562,Maximus UC-27,Urban,Convenience,7,No
563,Maximus UC-28,Urban,Convenience,7,No
564,Maximus UC-29,Urban,Convenience,7,No
565,Maximus UC-30,Urban,Convenience,7,No
566,Maximus UC-31,Urban,Convenience,7,No
567,Maximus UC-32,Urban,Convenience,7,No
568,Maximus UC-33,Urban,Convenience,7,No
569,Maximus UC-34,Urban,Convenience,7,No
570,Maximus UC-35,Urban,Convenience,7,No
571,Maximus UC-36,Urban,Convenience,7,No
572,Maximus UC-37,Urban,Convenience,7,No
573,Maximus UC-38,Urban,Convenience,7,No
574,Maximus UC-39,Urban,Convenience,7,No
575,Maximus UC-40,Urban,Convenience,7,No
576,Maximus UC-41,Urban,Convenience,7,No
577,Maximus UC-42,Urban,Convenience,7,No
578,Maximus UC-43,Urban,Convenience,7,No
